instrument_id;name;symbol;alltime_high;first_shaken_at;first_shaken_price;recent_high;last_price
8378;Manhattan Associates, Inc.;MANH;124.05;2002-07-15;19.55;76.96;58.07
8379;MANTECH INTERNATIONAL CORP-A;MANT;61.42;2003-03-17;12.43;35.07;28.29
8381;MATTHEWS INTL CORP-CLASS A;MATW;60.42;2009-04-14;27.6;60.42;49.09
8382;MB Financial Inc.;MBFI;43.21;2008-07-07;21.21;35.92;28.91
8383;MBT FINANCIAL CORP;MBTF;24.95;2007-03-13;12.26;7.24;7.12
8384;MERCANTILE BANK CORP;MBWM;48.74;2007-07-11;23.2;25.93;21.27
8385;MACATAWA BANK CORP;MCBC;26.38;2007-07-17;12.84;6.15;5.73
8388;MICROCHIP TECHNOLOGY INC;MCHP;52.41;2002-09-16;15.36;52.41;43.14
8389;Monarch Casino & Resort, Inc.;MCRI;32.52;2003-06-09;3.86;23.38;20
8392;MedAssets, Inc.;MDAS;31.31;2008-11-20;10.71;31.31;31.31
8393;MDC PARTNERS INC-A;MDCA;28.4;2002-08-15;1.86666666666667;28.4;19.3
8395;MEDICINES COMPANY;MDCO;43.31;2005-10-06;17.03;43.31;36.37
8396;ALLSCRIPTS HEALTHCARE SOLUTI;MDRX;30.99;2002-06-25;2.939;15.53;14.6
8397;MENTOR GRAPHICS CORP;MENT;27.9;2002-06-25;13.34;27.9;17.44
8398;METHANEX CORP;MEOH;73.01;2008-10-08;15.95;60.9;27.28
8399;Metro Bancorp Inc;METR;36.52;2009-02-18;17.94;34.13;27.57
8400;MULTI-FINELINE ELECTRONIX IN;MFLX;66.28;2006-05-19;32.63;25.94;15.58
8401;;;39.24;2002-07-03;8.5;36.84;36.44
8404;MGP Ingredients, Inc.;MGPI;34.21;2002-09-30;3.65;26.99;22.11
8405;McGrath RentCorp;MGRC;40;2002-08-15;9.4;34.63;23.37
8406;MAIDEN HOLDINGS LTD;MHLD;16.71;2008-10-09;3.91;16.71;12.91
8408;MIDDLEBY CORP;MIDD;124.08;2008-10-16;12.62;124.08;88.17
8410;Mobile Mini, Inc.;MINI;48.85;2002-05-07;8.03;44.23;28.04
8412;MKS Instruments, Inc.;MKSI;39.32;2002-06-19;19;39.32;33.99
8414;MarketAxess Holdings, Inc.;MKTX;114.24;2005-03-09;11.06;114.24;103.3
8415;Herman Miller, Inc.;MLHR;40.61;2008-10-07;19.67;32.69;25.36
8416;MODUSLINK GLOBAL SOLUTIONS I;MLNK;31;2002-05-06;9.681;3.95;2.19
8418;Merit Medical Systems, Inc.;MMSI;25.64;2004-10-13;9.64;25.64;16.35
8424;MIDWESTONE FINANCIAL GROUP I;MOFG;73;2006-08-22;25;33.68;28.08
8427;Morningstar, Inc.;MORN;86.57;2008-10-28;40.08;86.57;77.39
8430;MERCURY SYSTEMS INC;MRCY;40.1;2002-06-26;19.9;19.71;17.23
8431;Marten Transport, Ltd.;MRTN;24.73;2007-11-19;8.08666666666667;24.73;16.75
8432;MARVELL TECHNOLOGY GROUP LTD;MRVL;35.32;2002-06-21;5.3975;16.59;8.18
8433;MICROSEMI CORP;MSCC;38.66;2002-02-07;8.055;38.66;31.5
8435;MAINSOURCE FINANCIAL GROUP I;MSFG;27.79;2008-01-11;13.89;23.79;20.26
8436;MICROSOFT CORP;MSFT;56.55;2008-11-19;18.29;56.55;52.29
